# TIMESTAMP	THROUGHPUT
0.00	82.161600
0.01	90.787200
0.02	98.001600
0.03	90.364800
0.04	97.948800
0.05	98.160000
0.06	99.212800
0.07	97.790400
0.08	97.632000
0.09	97.790400
0.10	97.790400
0.11	98.948800
0.12	97.790400
0.13	100.318400
0.14	97.737600
0.15	97.684800
0.16	98.948800
0.17	97.737600
0.18	97.420800
0.19	97.526400
0.20	97.579200
0.21	99.160000
0.22	97.948800
0.23	97.843200
0.24	97.579200
0.25	97.737600
0.26	98.948800
0.27	97.737600
0.28	97.843200
0.29	97.684800
0.30	97.737600
0.31	97.790400
0.32	100.054400
0.33	97.737600
0.34	97.790400
0.35	97.684800
0.36	98.790400
0.37	97.684800
0.38	97.684800
0.39	97.737600
0.40	97.843200
0.41	97.790400
0.42	99.001600
0.43	85.414400
0.44	85.627200
0.45	0.124000
0.46	0.000000
