0.511795	204	173	0	31	88180	13178
0.511936	204	173	1	31	88180	13178
0.564710	205	185	2	13	88180	13178
2.396690	206	186	3	2	88180	13178
2.665762	207	187	4	2	2097792	14825
3.011627	208	187	4	1	2097792	14825
4.042977	208	188	5	2	2097792	14825
6.011634	772	720	5	31	91063	95316
9.011638	1820	1768	5	31	88829	94613
12.012815	2866	2814	5	31	88146	93179
15.012726	3907	3855	5	31	88598	91767
18.011993	4945	4893	5	31	88950	91090
21.012194	5916	5864	5	31	89062	133880
24.011700	6930	6878	5	31	127132	117199
27.011928	7969	7917	5	31	89364	89783
30.013333	9011	8959	5	31	91000	101049
33.013637	10017	9965	5	31	90210	100299
36.012879	11057	11005	5	31	88580	99559
39.012159	12101	12049	5	31	89154	98052
