# TIMESTAMP	THROUGHPUT
0.00	24.468800
0.01	69.721600
0.02	90.840000
0.03	98.054400
0.04	98.160000
0.05	98.160000
0.06	99.318400
0.07	98.054400
0.08	98.160000
0.09	98.212800
0.10	99.160000
0.11	98.107200
0.12	98.107200
0.13	98.160000
0.14	99.318400
0.15	98.107200
0.16	100.476800
0.17	98.107200
0.18	96.790400
0.19	100.529600
0.20	97.790400
0.21	98.054400
0.22	94.051200
0.23	98.160000
0.24	97.948800
0.25	98.107200
0.26	98.054400
0.27	99.318400
0.28	98.265600
0.29	98.001600
0.30	98.212800
0.31	99.212800
0.32	98.107200
0.33	98.107200
0.34	98.107200
0.35	99.212800
0.36	40.652800
0.37	64.088000
0.38	48.553600
0.39	78.728000
0.40	97.526400
0.41	97.368000
0.42	97.051200
0.43	98.632000
0.44	97.262400
0.45	97.368000
0.46	98.368000
0.47	97.473600
0.48	97.209600
0.49	96.312000
0.50	86.731200
0.51	68.457600
0.52	80.358400
0.53	97.420800
0.54	98.579200
0.55	97.104000
0.56	63.771200
0.57	52.870400
0.58	81.622400
0.59	92.417600
0.60	57.926400
0.61	96.840000
0.62	98.632000
0.63	73.355200
0.64	97.262400
0.65	98.579200
0.66	97.420800
0.67	97.368000
0.68	97.420800
0.69	99.001600
0.70	98.160000
0.71	97.790400
0.72	97.896000
0.73	99.265600
0.74	97.790400
0.75	97.948800
0.76	97.896000
0.77	99.160000
0.78	98.212800
0.79	98.107200
0.80	98.160000
0.81	99.318400
0.82	98.160000
0.83	98.107200
0.84	98.107200
0.85	99.265600
0.86	98.160000
0.87	98.054400
0.88	98.054400
0.89	99.265600
0.90	98.107200
0.91	98.160000
0.92	98.160000
0.93	99.265600
0.94	98.107200
0.95	98.160000
0.96	99.212800
0.97	98.160000
0.98	98.107200
0.99	98.107200
1.00	99.318400
1.01	98.107200
1.02	98.107200
1.03	98.160000
1.04	99.318400
1.05	98.107200
1.06	98.160000
1.07	98.054400
1.08	99.318400
1.09	98.107200
1.10	98.107200
1.11	98.054400
1.12	99.212800
1.13	98.107200
1.14	97.843200
1.15	99.265600
1.16	98.160000
1.17	98.107200
1.18	98.160000
1.19	99.318400
1.20	98.160000
1.21	98.160000
1.22	98.160000
1.23	99.265600
1.24	98.160000
1.25	98.107200
1.26	98.107200
